Variable 1,Variable 2,r,|r|
Sev. Depresión,Sev. Ansiedad,0.6415126094499762,0.6415126094499762
Sev. Depresión,Bienestar,-0.6411153903932479,0.6411153903932479
Sev. Depresión,Inflexibilidad,0.6042608615228029,0.6042608615228029
Inflexibilidad,Bienestar,-0.5698329815817911,0.5698329815817911
Sev. Depresión,Sev. Ideación,0.5399903570311388,0.5399903570311388
Sev. Ansiedad,Inflexibilidad,0.5316626075424926,0.5316626075424926
Sev. Ideación,Bienestar,-0.4681982725832288,0.4681982725832288
Sev. Ansiedad,Bienestar,-0.4398846766844341,0.4398846766844341
Sev. Ideación,Inflexibilidad,0.43168748975981,0.43168748975981
Sev. Ansiedad,Sev. Ideación,0.36536696331088514,0.36536696331088514
